logical_fallacies,label,articles,Claim,Implication,Referring Expressions - Claim,Referring Expressions - Implication,Property Implications,Equal Entities,Subset Entities,Claim Lfs,Implication Lfs,Logical Form,Logical Form 2
appeal to emotion,0,"At six feet , though , around 12 million people in the United States would be displaced , and the world ’ s most vulnerable megacities , like Shanghai , Mumbai , and Ho Chi Minh City , could be wiped off the map ."," ""12 million people in the United States would be displaced."""," ""Shanghai, Mumbai, and Ho Chi Minh City could be wiped off the map.""", IsDisplaced(a)," IsWipedOffTheMap(c),  IsWipedOffTheMap(d),  IsWipedOffTheMap(e)",[],[],"[(' Shanghai', ' 12 million people'), (' Mumbai', ' 12 million people'), (' Ho Chi Minh City', ' 12 million people')]",IsDisplaced(a),(IsWipedOffTheMap(c) and IsWipedOffTheMap(d)) or IsWipedOffTheMap(e),(forall a (IsDisplaced(a))) -> (exists e (exists d (exists c ((IsWipedOffTheMap(c) and IsWipedOffTheMap(d)) or IsWipedOffTheMap(e))))),(exists a (IsDisplaced(a))) -> (exists d (exists e (exists c ((IsWipedOffTheMap(c) and IsWipedOffTheMap(d)) or IsWipedOffTheMap(e)))))
appeal to emotion,0,And then you get scared .," ""The ghost is real."""," ""You believe the ghost is real.""", IsReal(a)," BelievesIsReal(b,a,c)",[],"[(' ghost', ' ghost')]",[],IsReal(a),"BelievesIsReal(b,a,c)","(IsReal(a)) -> (BelievesIsReal(b,a,c))","(exists a (IsReal(a))) -> (exists b (exists a (exists c (BelievesIsReal(b,a,c)))))"
fallacy of credibility,0,"Extreme melting and changes to the climate may have released pressure on to the continent , allowing the ground to rise up , a Nature report claims ."," ""The ground is rising up."""," ""Extreme melting and changes to the climate may have released pressure on the continent.""", IsRisingUp(b)," IsExtreme(a),  IsReleasedPressure(c)",[],[],[],IsRisingUp(b),IsExtreme(a) and IsReleasedPressure(c),(IsRisingUp(b)) -> (IsExtreme(a) and IsReleasedPressure(c)),(exists b (IsRisingUp(b))) -> (exists a (exists c (IsExtreme(a) and IsReleasedPressure(c))))
appeal to emotion,0,Australia ’ s symbolic suicidal climate policy just makes everybody poorer .,,,,,[],[],[],,,() -> (),() -> ()
fallacy of relevance,0,"As the BBC reported in May , scientists suspect smallpox and the bubonic plague are trapped in Siberian ice , too — an abridged history of devastating human sickness , left out like egg salad in the Arctic sun .", , ,a) IsTall(x), IsTall(x),[],"[('', '')]",[],IsTall(a),IsTall(a),(IsTall(a)) -> (IsTall(a)),(exists a (IsTall(a))) -> (exists a (IsTall(a)))
ad hominem,0,,,,,,[],[],[],,,() -> (),() -> ()
false dilemma,0,"The highest record temperature ever reported was 136 degrees Fahrenheit in Libya in 1922 . The record high temperature for the United States was 134 degrees Fahrenheit in Death Valley , California in 1913 . Fossil fuel emissions in 1913 and 1922 were negligible compared to today ."," ""The highest record temperature ever reported was 136 degrees Fahrenheit in Libya in 1922."""," ""Fossil fuel emissions in 1913 and 1922 were negligible compared to today."""," IsInLibya(c),  WasRecordedIn1922(a)"," IsNegligible(d,e),  WasIn1913(e),  WasIn1922(a)","[('  WasIn1922(a)', ' IsInLibya(c)'), ('  WasRecordedIn1922(a)', '  WasIn1922(a)')]","[(' 1922', ' 1922')]",[],IsInLibya(c) and WasRecordedIn1922(a),"IsNegligible(d,e) and (WasIn1913(e) and WasIn1922(a))","(IsInLibya(c) and WasRecordedIn1922(a) & (forall a (forall c (  WasIn1922(a) ->  IsInLibya(c)))) & (forall a (  WasRecordedIn1922(a) ->   WasIn1922(a)))) -> (IsNegligible(d,e) and (WasIn1913(e) and WasIn1922(a)))","(exists a (exists c (IsInLibya(c) and WasRecordedIn1922(a))) & (forall h (forall g (  WasIn1922(g) ->  IsInLibya(h)))) & (forall i (  WasRecordedIn1922(i) ->   WasIn1922(i)))) -> (exists d (exists e (exists a (IsNegligible(d,e) and (WasIn1913(e) and WasIn1922(a))))))"
fallacy of relevance,0,"Without carbon dioxide , there would be no complex life on earth .",,,,,[],[],[],,,() -> (),() -> ()
intentional,0,"News flash , Mr. President : Alaska has been buffeted by cyclical swings in climate for thousands of years . That ’ s true for the rest of the world , too . There was a 300-year-long Medieval heat wave , followed by a Little Ice Age that began around 1300 , and then the 300-year warming period we ’ re in now .",,,,,[],[],[],,,() -> (),() -> ()
fallacy of relevance,0,"Brazil , the world ’ s largest exporter of red meat , holds around 212 million cattle . ( In June , the U.S. temporarily suspended imports of beef from Brazil due to abscesses , collections of pus , in the meat . )"," ""Brazil exports red meat."""," ""Brazil has abscesses, collections of pus in their meat."""," IsExports(a,b)"," HasAbscesses(a),  HasCollectionsOfPus(d)",[],"[(' Brazil', ' Brazil')]","[(' red meat', ' meat')]","IsExports(a,b)",HasAbscesses(a) and HasCollectionsOfPus(d) and IsMeat(e),"(exists b (IsExports(a,b))) -> (forall e (HasAbscesses(a) and HasCollectionsOfPus(d) and IsMeat(e)))","(exists b (exists a (IsExports(a,b)))) -> (exists d (exists e (exists a (HasAbscesses(a) and HasCollectionsOfPus(d) and IsMeat(e)))))"
equivocation,0,"Those eruptions meant there was more subsequent warming in the following years , making the rate of warming appear to be rising as a result of man-made emissions or other factors , Christy said ."," ""There was more subsequent warming in the following years."""," ""The rate of warming appeared to be rising."""," IsSubsequent(b),  IsFollowing(c)"," IsAppeared(e),  IsRising(f)",[],[],"[(' rate of warming', ' There'), (' appeared', ' There'), (' There', ' rising'), (' rate of warming', ' subsequent warming'), (' appeared', ' subsequent warming'), (' rising', ' subsequent warming'), (' rate of warming', ' following years.'), (' appeared', ' following years.'), (' rising', ' following years.')]",IsSubsequent(b) and IsFollowing(c),IsAppeared(e) and IsRising(f),(forall c (forall b (IsSubsequent(b) and IsFollowing(c)))) -> (exists f (exists e (IsAppeared(e) and IsRising(f)))),(exists b (exists c (IsSubsequent(b) and IsFollowing(c)))) -> (exists e (exists f (IsAppeared(e) and IsRising(f))))
false dilemma,0,"If global warming is “ real , ”
both sides of the debate seem to assume , the climate lobby ’ s policy agenda follows
inexorably ."," ""Global warming is real."""," ""The climate lobby's policy agenda follows inexorably.""", IsReal(a)," IsFollows(b,c)",[],[],[],IsReal(a),"IsFollows(b,c)","(IsReal(a)) -> (IsFollows(b,c))","(exists a (IsReal(a))) -> (exists b (exists c (IsFollows(b,c))))"
appeal to emotion,0,"He said that he and his students cried when he showed them maps of the damage , which he had calculated in part by flying low in small planes and helicopters .", He and his students cried when they saw maps of the damage., He flew low in small planes and helicopters to calculate the damage.," IsCried(a),  IsStudentOf(d),  IsMap(b),  IsDamage(c)"," IsFlew(a),  IsLow(b),  IsSmallPlane(e),  IsHelicopter(f)",[],"[(' He', ' He'), (' maps', ' low'), (' damage.', ' damage.')]","[(' low', ' He'), (' damage.', ' He'), (' low', ' his students'), (' damage.', ' He'), (' low', ' damage.'), (' small planes', ' damage.')]",IsCried(a) and IsStudentOf(d) and IsMap(b) and IsDamage(c),IsFlew(a) and (IsLow(b) and IsSmallPlane(e)) and IsDamage(c),(forall c (exists c (exists b (IsCried(a) and IsStudentOf(d) and IsMap(b) and IsDamage(c))))) -> (exists e (forall c (exists c (exists b (forall a (IsFlew(a) and (IsLow(b) and IsSmallPlane(e)) and IsDamage(c))))))),(exists d (exists a (exists b (exists c (IsCried(a) and IsStudentOf(d) and IsMap(b) and IsDamage(c)))))) -> (exists b (exists e (exists a (exists c (IsFlew(a) and (IsLow(b) and IsSmallPlane(e)) and IsDamage(c))))))
intentional,0,"On our current trajectory , the report warns , “ planetary and human systems [ are ] reaching a ‘ point of no return ’ by mid-century , in which the prospect of a largely uninhabitable Earth leads to the breakdown of nations and the international order . ”"," ""Our current trajectory leads to a largely uninhabitable Earth."""," ""The breakdown of nations and the international order is imminent.""", IsInhabitable(b)," IsBreakdownImminent(c),  IsInternationalOrder(d)",[],[],"[(' Our current trajectory', ' international order')]",IsInhabitable(b) and ~IsCurrentTrajectory(a),IsBreakdownImminent(c) and IsInternationalOrder(d),(exists a (IsInhabitable(b) and ~IsCurrentTrajectory(a))) -> (forall d (IsBreakdownImminent(c) and IsInternationalOrder(d))),(exists b (exists a (IsInhabitable(b) and ~IsCurrentTrajectory(a)))) -> (exists d (exists c (IsBreakdownImminent(c) and IsInternationalOrder(d))))
faulty generalization,0,A harrowing scenario analysis of how human civilization might collapse in coming decades due to climate change has been endorsed by a former Australian defense chief and senior royal navy commander .," ""Human civilization might collapse in coming decades due to climate change."""," ""A former Australian defense chief and senior royal navy commander endorses the scenario analysis.""", IsAffectedByClimateChange(b), IsFormer(a),[],"[(' climate change', '')]","[('', ' Human civilization')]",IsAffectedByClimateChange(b),IsFormer(a) and EndorsesScenarioAnalysis(a),(forall b (IsAffectedByClimateChange(b))) -> (exists a (IsFormer(a) and EndorsesScenarioAnalysis(a))),(exists b (IsAffectedByClimateChange(b))) -> (exists a (IsFormer(a) and EndorsesScenarioAnalysis(a)))
fallacy of extension,0,Alarmist attempts to frame thriving forests as harmful perfectly illustrate the alarmists ’ proclivity to claim anything and everything – no matter how beneficial – is severely harmful and caused by global warming .,,,,,[],[],[],,,() -> (),() -> ()
ad populum,0,"The Chinese “ airpocalypse ” of 2013 peaked at what would have been an Air Quality Index of over 800 . That year , smog was responsible for a third of all deaths in the country ."," ""The Chinese 'airpocalypse' of 2013 peaked at an Air Quality Index of over 800."""," ""Smog was responsible for a third of all deaths in the country."""," IsInChinese(a),  IsOver800(c)"," IsResponsibleFor(d),  IsThird(e)",[],[],"[(' Chinese', ' country'), (' Smog', ' airpocalypse'), (' Smog', ' Air Quality Index'), (' Air Quality Index', ' country')]",IsInChinese(a) and IsOver800(c),IsResponsibleFor(d) and IsThird(e),(forall c (exists a (IsInChinese(a) and IsOver800(c)))) -> (exists d (forall e (IsResponsibleFor(d) and IsThird(e)))),(exists a (exists c (IsInChinese(a) and IsOver800(c)))) -> (exists d (exists e (IsResponsibleFor(d) and IsThird(e))))
ad hominem,0,"Update Jan. 25 , 2016 : As I predicted in this article , global warming activists have indeed made a full-blown public relations effort to claim 2015 was the warmest year on record ."," ""Global warming activists claimed 2015 was the warmest year on record."""," ""Global warming is real."""," IsClaimedBy(a,b),  IsOnRecord(c)", IsReal(d),[],[],[],"IsClaimedBy(a,b) and IsOnRecord(c)",IsReal(d),"(IsClaimedBy(a,b) and IsOnRecord(c)) -> (IsReal(d))","(exists b (exists a (exists c (IsClaimedBy(a,b) and IsOnRecord(c))))) -> (exists d (IsReal(d)))"
fallacy of extension,0,"Global warming alarmism provides them , more than any other issue , with the things they
most want : For politicians it ’ s money and power . For environmentalists it ’ s money for their
organizations and confirmation of their near religious devotion to the idea that man is a
destructive force acting upon nature . And for the media it ’ s ideology , money , and headlines ."," ""Global warming alarmism provides politicians, environmentalists, and the media with money and power."""," ""Alarmism is the driving force behind the push for action on global warming."""," IsAlarmism(a),  IsMoneyAndPower(b,c,d)"," IsDrivingForce(a),  IsPushForAction(a)",[],"[(' Global warming', ' Alarmism'), (' Global warming', ' global warming')]",[],IsAlarmism(a) and (IsMoneyAndPower(b) and IsMoneyAndPower(c) and IsMoneyAndPower(d)),IsDrivingForce(a) and IsPushForAction(a),(IsAlarmism(a) and (IsMoneyAndPower(b) and IsMoneyAndPower(c) and IsMoneyAndPower(d))) -> (IsDrivingForce(a) and IsPushForAction(a)),(exists b (exists a (exists c (exists d (IsAlarmism(a) and (IsMoneyAndPower(b) and IsMoneyAndPower(c) and IsMoneyAndPower(d))))))) -> (exists a (IsDrivingForce(a) and IsPushForAction(a)))
fallacy of logic,0,"As long as the ice-water mix is well-stirred ( like a glass of ice water ) , the surface temperature stays at the freezing point until all the ice melts ."," ""The surface temperature stays at the freezing point until all the ice melts."""," ""If the ice-water mix is well-stirred, the surface temperature will stay at the freezing point."""," IsAtFreezingPoint(a),  IsMelted(d)"," IsWellStirred(e),  IsAtFreezingPoint(f)","[(' IsWellStirred(e)', ' IsAtFreezingPoint(a)'), ('  IsMelted(d)', '  IsAtFreezingPoint(f)')]",[],"[(' surface temperature', ' The surface temperature'), (' freezing point.', ' The surface temperature'), (' ice-water mix', ' freezing point'), (' freezing point.', ' freezing point'), (' ice-water mix', ' ice'), (' ice', ' freezing point.'), (' melts', ' ice-water mix'), (' freezing point.', ' melts')]",IsAtFreezingPoint(a) and ~IsMelted(d),IsWellStirred(e) and IsAtFreezingPoint(f),(exists d (forall a (IsAtFreezingPoint(a) and ~IsMelted(d))) & (forall e (forall a ( IsWellStirred(e) ->  IsAtFreezingPoint(a)))) & (forall d (forall f (  IsMelted(d) ->   IsAtFreezingPoint(f))))) -> (forall e (exists f (IsWellStirred(e) and IsAtFreezingPoint(f)))),(exists d (exists a (IsAtFreezingPoint(a) and ~IsMelted(d))) & (forall h (forall i ( IsWellStirred(h) ->  IsAtFreezingPoint(i)))) & (forall k (forall j (  IsMelted(j) ->   IsAtFreezingPoint(k))))) -> (exists e (exists f (IsWellStirred(e) and IsAtFreezingPoint(f))))
faulty generalization,0,The sea has crept up to the point that a high tide and a brisk wind are all it takes to send water pouring into streets and homes ., The sea is creeping up. Implication: Water is pouring into streets and homes., The sea is creeping up. Implication: Water is pouring into streets and homes.," IsPouringIntoStreets(c),  IsInHomes(d)"," IsCreepingUp(a),  IsPouringIntoStreets(c),  IsInHomes(d)",[],"[(' The sea', ' The sea'), (' water', ' water'), (' streets', ' streets'), (' homes.', ' homes.')]","[(' water', ' The sea'), (' water', ' The sea')]",IsPouringIntoStreets(c) and IsInHomes(d),IsCreepingUp(a) and IsPouringIntoStreets(c) and IsInHomes(d),(IsPouringIntoStreets(c) and IsInHomes(d)) -> (IsCreepingUp(a) and IsPouringIntoStreets(c) and IsInHomes(d)),(exists d (exists c (IsPouringIntoStreets(c) and IsInHomes(d)))) -> (exists d (exists a (exists c (IsCreepingUp(a) and IsPouringIntoStreets(c) and IsInHomes(d)))))
intentional,0,The international team onboard the Russian research ship R/V Akademik Keldysh said most of the bubbles were currently dissolving in the water but methane levels at the surface were four to eight times what would normally be expected and this was venting into the atmosphere .," ""Most of the bubbles are dissolving in the water."""," ""Methane levels at the surface are four to eight times what would normally be expected and this is venting into the atmosphere.""", IsDissolving(a)," IsFourToEightTimes(c),  IsVenting(d)",[],[],"[(' Most of the bubbles', ' surface')]",IsDissolving(a) and ~IsNotDissolving(b),IsFourToEightTimes(c) and IsVenting(d),(exists a (IsDissolving(a) and ~IsNotDissolving(b))) -> (forall d (IsFourToEightTimes(c) and IsVenting(d))),(exists b (exists a (IsDissolving(a) and ~IsNotDissolving(b)))) -> (exists d (exists c (IsFourToEightTimes(c) and IsVenting(d))))
intentional,0,"While it 's too soon to say precisely how global warming may have affected the rare confluence of events that conspired to dump at least 26.88 inches of rain in less than four days on South Carolina , changes in extreme precipitation events are one of global warming 's most well-documented climate change impacts ."," ""Changes in extreme precipitation events are one of global warming's most well-documented climate change impacts."""," ""It's too soon to say precisely how global warming may have affected the rare confluence of events that conspired to dump at least 26.88 inches of rain in less than four days on South Carolina."""," IsGlobalWarming(b),  IsImpactOfClimateChange(c)"," IsGlobalWarming(b),  IsRareConfluenceOfEvents(a)","[(' IsGlobalWarming(b)', '  IsImpactOfClimateChange(c)')]","[(' Changes in extreme precipitation events', ' rare confluence of events'), (' global warming', ' global warming')]","[(' Changes in extreme precipitation events', ' It'), (' Changes in extreme precipitation events', ' global warming'), (' global warming', ' rare confluence of events'), (' climate change impacts.', ' It'), (' global warming', ' climate change impacts.'), (' rare confluence of events', ' climate change impacts.'), (' South Carolina.', ' climate change impacts.')]",IsImpactOfGlobalWarming(a),IsGlobalWarming(b) and (IsRareConfluenceOfEvents(a) or and (IsInSouthCarolina(e) and IsRain(e))),(forall a (exists a (IsImpactOfGlobalWarming(a))) & (forall b (forall c ( IsGlobalWarming(b) ->   IsImpactOfClimateChange(c))))) -> (forall b (IsGlobalWarming(b) and (IsRareConfluenceOfEvents(a) or and (IsInSouthCarolina(e) and IsRain(e))))),(exists a (IsImpactOfGlobalWarming(a)) & (forall h (forall g ( IsGlobalWarming(g) ->   IsImpactOfClimateChange(h))))) -> (exists b (exists e (exists a (IsGlobalWarming(b) and (IsRareConfluenceOfEvents(a) or and (IsInSouthCarolina(e) and IsRain(e)))))))
false causality,0,Any increase in flooding activity is due to human alterations of river and stream flow rather than precipitation changes .,,,,,[],[],[],,,() -> (),() -> ()
faulty generalization,0,"Still , the shift is precisely what he and other cyclone experts said would be expected from climate change ."," ""The shift is expected from climate change"""," ""Climate change is happening""", IsExpected(a), IsHappening(c),"[(' IsHappening(c)', ' IsExpected(a)')]","[(' climate change', ' Climate change')]","[(' The shift', ' Climate change'), (' happening', ' The shift'), (' happening', ' climate change')]",IsExpected(b),IsHappening(a),(exists b (IsExpected(b)) & (forall a (forall c ( IsHappening(c) ->  IsExpected(a))))) -> (forall a (IsHappening(a))),(exists b (IsExpected(b)) & (forall e (forall f ( IsHappening(e) ->  IsExpected(f))))) -> (exists a (IsHappening(a)))
appeal to emotion,0,“ This has been the saddest research trip of my life ”,,,,,[],[],[],,,() -> (),() -> ()
fallacy of logic,0,Eight countries control land in the Arctic Circle . Five have coastlines to defend . The temperature is rising . The ice is melting . The race for newly accessible resources is beginning . And Russia is gaining ground .," ""Russia is gaining ground."""," ""The race for newly accessible resources is beginning.""", IsGainingGround(a)," IsBeginning(b),  IsAccessible(c)","[('  IsAccessible(c)', ' IsGainingGround(a)')]",[],"[(' Russia', ' newly accessible resources')]",IsGainingGround(a),IsBeginning(b) and IsAccessible(c),(exists a (IsGainingGround(a)) & (forall a (forall c (  IsAccessible(c) ->  IsGainingGround(a))))) -> (forall c (IsBeginning(b) and IsAccessible(c))),(exists a (IsGainingGround(a)) & (forall d (forall e (  IsAccessible(d) ->  IsGainingGround(e))))) -> (exists b (exists c (IsBeginning(b) and IsAccessible(c))))
intentional,0,You ’ ve only got to look at Singapore .," ""Singapore is densely populated."""," ""You should look at Singapore.""", IsDenselyPopulated(a)," ShouldBeLookedAt(b,a)",[],"[(' Singapore', ' Singapore')]",[],IsDenselyPopulated(a),"ShouldBeLookedAt(b,a)","(IsDenselyPopulated(a)) -> (ShouldBeLookedAt(b,a))","(exists a (IsDenselyPopulated(a))) -> (exists b (exists a (ShouldBeLookedAt(b,a))))"
appeal to emotion,0,"Meanwhile , Mr Beckwith confirmed the changes would usher in a sustained period of “ climate system mayhem ” which could prove difficult to resolve ."," ""Mr. Beckwith confirmed the changes will usher in a sustained period of 'climate system mayhem'."""," ""The climate system mayhem could prove difficult to resolve."""," IsConfirmed(c),  IsInClimateSystem(a),  IsMayhem(b)"," IsInClimateSystem(a),  IsMayhem(b),  IsDifficultToResolve(e)",[],"[(' climate system', ' climate system'), (' mayhem', ' mayhem')]","[(' Mr. Beckwith', ' difficult to resolve.'), (' climate system', ' changes'), (' mayhem', ' changes'), (' changes', ' difficult to resolve.'), (' climate system', ' difficult to resolve.'), (' mayhem', ' difficult to resolve.')]",IsConfirmed(c) and IsInClimateSystem(a) and IsMayhem(b),IsInClimateSystem(a) and IsMayhem(b) and IsDifficultToResolve(e),(exists b (exists a (exists c (IsConfirmed(c) and IsInClimateSystem(a) and IsMayhem(b))))) -> (forall e (IsInClimateSystem(a) and IsMayhem(b) and IsDifficultToResolve(e))),(exists b (exists a (exists c (IsConfirmed(c) and IsInClimateSystem(a) and IsMayhem(b))))) -> (exists b (exists e (exists a (IsInClimateSystem(a) and IsMayhem(b) and IsDifficultToResolve(e)))))
intentional,0,"Temperature , like viscosity and density , and of course phone numbers , is not something that can be meaningfully averaged . “ Global temperature ” does not exist ."," ""Temperature cannot be meaningfully averaged."""," ""There is no such thing as global temperature.""", IsMeaningfullyAveraged(a), IsGlobal(c),[],[],"[(' There', ' Temperature'), (' Temperature', ' global temperature')]",~IsMeaningfullyAveraged(a),~IsGlobal(b),(forall a (~IsMeaningfullyAveraged(a))) -> (exists b (~IsGlobal(b))),(exists a (~IsMeaningfullyAveraged(a))) -> (exists b (~IsGlobal(b)))
false causality,0,"The Little Ice Age
ended as recently as 1850 . Therefore , it is no surprise that we now are expe riencing a period of warming ."," ""The Little Ice Age ended recently."""," ""We are currently experiencing a period of warming.""", IsRecently(a), IsExperiencing(a),[],"[(' recently', ' We')]","[(' recently', ' warming')]",IsRecently(a),IsExperiencing(a) and IsWarming(c),(exists a (IsRecently(a))) -> (forall c (IsExperiencing(a) and IsWarming(c))),(exists a (IsRecently(a))) -> (exists a (exists c (IsExperiencing(a) and IsWarming(c))))
intentional,0,"By ignoring history and geology , any claim of unusual weather can be made sensational ."," ""Ignoring history and geology can make any claim of unusual weather sensational."""," ""Any claim of unusual weather can be made sensational."""," IsIgnored(a,c),  IsIgnored(d,b)"," IsAny(e,a),  IsSensational(b)",[],"[(' unusual weather', ' unusual weather'), (' sensational.', ' sensational.')]","[(' unusual weather', ' history'), (' sensational.', ' unusual weather'), (' sensational.', ' unusual weather')]","IsIgnored(a,c) and IsIgnored(d,b)","IsAny(e,a) and IsSensational(b)","(exists b (forall c (IsIgnored(a,c) and IsIgnored(d,b)))) -> (exists b (forall a (exists a (IsAny(e,a) and IsSensational(b)))))","(exists d (exists a (exists b (exists c (IsIgnored(a,c) and IsIgnored(d,b)))))) -> (exists b (exists e (exists a (IsAny(e,a) and IsSensational(b)))))"
,1,"Coach talks with football player, other players and crowd in background. Thus, a football coach talks with his player in front of the team and the crowd."," ""Coach talks with football player."""," ""A football coach talks with his player in front of the team and the crowd."""," IsTalkedWith(a,b)"," IsTalkedWith(a,b),  IsInFrontOfTeam(c),  IsInCrowd(c)",[],[],"[(' Coach', '')]","IsTalkedWith(a,b)","IsTalkedWith(a,b) and IsInFrontOfTeam(c)","(exists a (IsTalkedWith(a,b))) -> (forall c (IsTalkedWith(a,b) and IsInFrontOfTeam(c)))","(exists b (exists a (IsTalkedWith(a,b)))) -> (exists b (exists a (exists c (IsTalkedWith(a,b) and IsInFrontOfTeam(c)))))"
,1,"Two men watching one man make a golf putt on the set of Sports Center. As a consequence, people watching sports."," ""Two men watched one man make a golf putt on the set of Sports Center."""," ""People watch sports."""," IsWatched(a,b),  IsOnSportsCenter(c)"," IsWatched(e,f)","[('  IsOnSportsCenter(c)', ' IsWatched(e,f)')]",[],"[(' golf putt', ' sports')]","IsWatched(a,b) and IsOnSportsCenter(c)","IsWatched(e,f)","(exists c (IsWatched(a,b) and IsOnSportsCenter(c)) & (forall e (forall f (forall c (  IsOnSportsCenter(c) ->  IsWatched(e,f)))))) -> (forall f (IsWatched(e,f)))","(exists b (exists a (exists c (IsWatched(a,b) and IsOnSportsCenter(c)))) & (forall h (forall g (forall i (  IsOnSportsCenter(g) ->  IsWatched(h,i)))))) -> (exists e (exists f (IsWatched(e,f))))"
,1,"Six women wait to use a port-o-john in a field. Thus, women are outside."," ""Women are outside."""," ""Six women wait to use a port-o-john in a field.""", IsOutside(a)," IsWaitingToUse(c),  IsInField(e)","[(' IsOutside(a)', ' IsWaitingToUse(c)'), (' IsWaitingToUse(c)', ' IsOutside(a)'), ('  IsInField(e)', ' IsOutside(a)')]",[],"[(' Six women', ' Women'), (' Six women', ' outside'), (' outside', ' field')]",IsOutside(b),IsWaitingToUse(c) and IsInField(e),(forall b (IsOutside(b)) & (forall a (forall c ( IsOutside(a) ->  IsWaitingToUse(c)))) & (forall a (forall c ( IsWaitingToUse(c) ->  IsOutside(a)))) & (forall e (forall a (  IsInField(e) ->  IsOutside(a))))) -> (forall e (exists c (IsWaitingToUse(c) and IsInField(e)))),(exists b (IsOutside(b)) & (forall g (forall f ( IsOutside(f) ->  IsWaitingToUse(g)))) & (forall h (forall i ( IsWaitingToUse(h) ->  IsOutside(i)))) & (forall k (forall j (  IsInField(j) ->  IsOutside(k))))) -> (exists e (exists c (IsWaitingToUse(c) and IsInField(e))))
,1,Women wearing a black top and glasses speaking into a blue tipped microphone with another woman beside her writing. It follows that one woman speaking into a microphone while a second woman writes beside her.," ""One woman speaks into a microphone while a second woman writes beside her."""," ""Women wearing a black top and glasses speaking into a blue tipped microphone with another woman beside her writing."""," IsSpeaking(a),  IsWriting(b),  IsBesideHer(d)"," IsWearingBlackTop(f),   IsWearingGlasses(g),   IsSpeakingIntoBlueTippedMicrophone(h),   IsBesideHer(i),   IsWriting(j)","[('   IsSpeakingIntoBlueTippedMicrophone(h)', ' IsSpeaking(a)'), (' IsSpeaking(a)', '   IsBesideHer(i)'), ('   IsBesideHer(i)', ' IsSpeaking(a)'), ('   IsWriting(j)', ' IsSpeaking(a)'), ('   IsSpeakingIntoBlueTippedMicrophone(h)', '  IsWriting(b)')]",[],"[(' One woman', ' Women'), (' One woman', ' another woman'), (' second woman', ' Women'), (' second woman', ' another woman'), (' second woman', ' writing.'), (' beside her.', ' Women'), (' black top', ' beside her.'), (' beside her.', ' another woman'), (' beside her.', ' writing.')]",IsSpeaking(a) and IsWriting(b) and IsBesideHer(d),(IsWearingBlackTop(f) and IsWearingGlasses(g) and IsSpeakingIntoBlueTippedMicrophone(h)) and (IsBesideHer(i) and IsWriting(j)),(forall d (exists b (exists a (IsSpeaking(a) and IsWriting(b) and IsBesideHer(d)))) & (forall h (forall a (   IsSpeakingIntoBlueTippedMicrophone(h) ->  IsSpeaking(a)))) & (forall a (forall i ( IsSpeaking(a) ->    IsBesideHer(i)))) & (forall a (forall i (   IsBesideHer(i) ->  IsSpeaking(a)))) & (forall j (forall a (   IsWriting(j) ->  IsSpeaking(a)))) & (forall h (forall b (   IsSpeakingIntoBlueTippedMicrophone(h) ->   IsWriting(b))))) -> (exists f (forall j (forall i ((IsWearingBlackTop(f) and IsWearingGlasses(g) and IsSpeakingIntoBlueTippedMicrophone(h)) and (IsBesideHer(i) and IsWriting(j)))))),(exists b (exists a (exists d (IsSpeaking(a) and IsWriting(b) and IsBesideHer(d)))) & (forall k (forall l (   IsSpeakingIntoBlueTippedMicrophone(k) ->  IsSpeaking(l)))) & (forall n (forall m ( IsSpeaking(m) ->    IsBesideHer(n)))) & (forall p (forall o (   IsBesideHer(o) ->  IsSpeaking(p)))) & (forall r (forall q (   IsWriting(q) ->  IsSpeaking(r)))) & (forall t (forall s (   IsSpeakingIntoBlueTippedMicrophone(s) ->   IsWriting(t))))) -> (exists i (exists g (exists j (exists f (exists h ((IsWearingBlackTop(f) and IsWearingGlasses(g) and IsSpeakingIntoBlueTippedMicrophone(h)) and (IsBesideHer(i) and IsWriting(j))))))))
,1,"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. Therefore, a tan girl runs leans over an object."," ""A tan girl runs and leans over an object."""," ""A person in a wool hat sits on the ground."""," IsTan(a),  Runs(a),  LeansOver(a,b)"," IsInWoolHat(c),  SitsOnGround(c)",[],[],"[(' Tan girl', ' A person'), (' ground', ' object')]","IsTan(a) and Runs(a) and LeansOver(a,b)",IsInWoolHat(c) and SitsOnGround(c),"(exists a (IsTan(a) and Runs(a) and LeansOver(a,b))) -> (forall c (IsInWoolHat(c) and SitsOnGround(c)))","(exists b (exists a (IsTan(a) and Runs(a) and LeansOver(a,b)))) -> (exists c (IsInWoolHat(c) and SitsOnGround(c)))"
,1,A scientist studies a slide in order to work on her new creation. It follows that a scientist studies a slide that is related to her invention.,,,,,[],[],[],,,() -> (),() -> ()
,1,"A red dog jumps and catches a tennis ball in its mouth. Consequently, a dog catching a ball.",,,,,[],[],[],,,() -> (),() -> ()
