logical_fallacies,label,articles,Claim,Implication,Referring Expressions - Claim,Referring Expressions - Implication,Property Implications,Equal Entities,Subset Entities,Claim Lfs,Implication Lfs,Logical Form,Logical Form 2
appeal to emotion,0,“ This has been the saddest research trip of my life ”," ""This research trip has been the saddest of my life.""  "," ""This research trip is the saddest research trip ever.""","IsSaddest(a),  IsPartOf(b)","IsSaddest(a),  IsSameAs(a,c)","[('  IsSameAs(a,c)', 'IsSaddest(a)')]","[(' This research trip', ' This research trip')]",[],IsSaddest(a) and IsPartOf(b),"IsSaddest(a) and IsSameAs(a,c)","(IsSaddest(a) and IsPartOf(b) & (forall c (forall a (  IsSameAs(a,c) -> IsSaddest(a))))) -> (IsSaddest(a) and IsSameAs(a,c))","(exists b (exists a (IsSaddest(a) and IsPartOf(b))) & (forall e (forall d (  IsSameAs(d,e) -> IsSaddest(d))))) -> (exists c (exists a (IsSaddest(a) and IsSameAs(a,c))))"
fallacy of logic,0,Eight countries control land in the Arctic Circle . Five have coastlines to defend . The temperature is rising . The ice is melting . The race for newly accessible resources is beginning . And Russia is gaining ground .," ""Eight countries control land in the Arctic Circle.""  "," ""Russia is gaining ground in the race for newly accessible resources.""","ControlsLand(a, b),  IsInArcticCircle(b, c)","IsGainingGround(d, e),  IsInRace(e, f),  IsForResources(f, g)",[],[],[],"ControlsLand(a, b) and IsInArcticCircle(b, c)","IsGainingGround(d, e) and IsInRace(e, f) and IsForResources(f, g)","(ControlsLand(a, b) and IsInArcticCircle(b, c)) -> (IsGainingGround(d, e) and IsInRace(e, f) and IsForResources(f, g))","(exists c (exists b (exists a (ControlsLand(a, b) and IsInArcticCircle(b, c))))) -> (exists e (exists d (exists f (exists g (IsGainingGround(d, e) and IsInRace(e, f) and IsForResources(f, g))))))"
intentional,0,You ’ ve only got to look at Singapore .," ""Singapore is worth looking at.""  ",,IsWorthLookingAt(a),"Input Sentence: ""Singapore is worth looking at.""  ",[],[],[],,,,
appeal to emotion,0,"Meanwhile , Mr Beckwith confirmed the changes would usher in a sustained period of “ climate system mayhem ” which could prove difficult to resolve ."," ""Mr Beckwith confirmed the changes would usher in a sustained period of climate system mayhem.""  "," ""The changes could prove difficult to resolve.""","ConfirmsChanges(b, a),  UshersIn(b, c),  IsSustainedPeriod(c),  IsClimateSystemMayhem(d)",IsDifficultToResolve(a),[],"[(' the changes', ' The changes')]",[],"ConfirmsChanges(b, a) and UshersIn(b, c) and IsSustainedPeriod(c) and IsClimateSystemMayhem(d)",IsDifficultToResolve(a),"(ConfirmsChanges(b, a) and UshersIn(b, c) and IsSustainedPeriod(c) and IsClimateSystemMayhem(d)) -> (IsDifficultToResolve(a))","(exists c (exists d (exists b (exists a (ConfirmsChanges(b, a) and UshersIn(b, c) and IsSustainedPeriod(c) and IsClimateSystemMayhem(d)))))) -> (exists a (IsDifficultToResolve(a)))"
intentional,0,"Temperature , like viscosity and density , and of course phone numbers , is not something that can be meaningfully averaged . “ Global temperature ” does not exist ."," ""Temperature cannot be meaningfully averaged.""  "," ""Global temperature does not exist.""",IsTemperature(a),"IsGlobalTemperature(b),  DoesNotExist(b)",[],[],"[(' Temperature', ' Global temperature')]",~CanBeAveraged(a),IsGlobalTemperature(b) and DoesNotExist(b),(exists a (~CanBeAveraged(a))) -> (forall b (IsGlobalTemperature(b) and DoesNotExist(b))),(exists a (~CanBeAveraged(a))) -> (exists b (IsGlobalTemperature(b) and DoesNotExist(b)))
false causality,0,"The Little Ice Age
ended as recently as 1850 . Therefore , it is no surprise that we now are expe riencing a period of warming ."," ""The Little Ice Age ended as recently as 1850.""  "," ""We are experiencing a period of warming.""","Ended(a),  IsRecent(b)","IsExperiencing(c, d),  IsPeriodOf(d, e)",[],[],"[(' The Little Ice Age', ' a period')]",Ended(a) and IsRecent(b),"IsExperiencing(c, d) and IsPeriodOf(d, e)","(exists a (Ended(a) and IsRecent(b))) -> (forall d (IsExperiencing(c, d) and IsPeriodOf(d, e)))","(exists b (exists a (Ended(a) and IsRecent(b)))) -> (exists c (exists e (exists d (IsExperiencing(c, d) and IsPeriodOf(d, e)))))"
intentional,0,"By ignoring history and geology , any claim of unusual weather can be made sensational ."," ""Ignoring history and geology makes any claim of unusual weather sensational.""  "," ""People can make sensational claims about unusual weather.""","IgnoresHistory(b),  IgnoresGeology(c),  MakesSensational(d),  IsUnusual(a)","MakesSensational(f),  IsAbout(f,a),  IsUnusual(a)",[],"[(' unusual weather', ' unusual weather')]","[(' any claim', ' sensational claims')]",(IgnoresHistory(b) and IgnoresGeology(c)) and MakesSensational(d),"MakesSensational(f) and IsAbout(f,a) and IsUnusual(a)","(exists d ((IgnoresHistory(b) and IgnoresGeology(c)) and MakesSensational(d))) -> (forall f (MakesSensational(f) and IsAbout(f,a) and IsUnusual(a)))","(exists c (exists d (exists b ((IgnoresHistory(b) and IgnoresGeology(c)) and MakesSensational(d))))) -> (exists f (exists a (MakesSensational(f) and IsAbout(f,a) and IsUnusual(a))))"
,1,"Coach talks with football player, other players and crowd in background. Thus, a football coach talks with his player in front of the team and the crowd."," ""A football coach talks with his player in front of the team and the crowd.""  "," ""A football coach talks with football players.""","IsCoach(a),  TalksWith(a,b),  IsInFrontOf(b,c),  IsInFrontOf(b,d)","IsCoach(a),  TalksWith(a,e)","[('IsCoach(a)', '  TalksWith(a,e)'), ('  TalksWith(a,b)', 'IsCoach(a)')]","[(' A football coach', ' A football coach')]","[(' his player', ' football players'), (' the team', ' football players')]","IsCoach(a) and TalksWith(a,b) and IsInFrontOf(b,c) and IsInFrontOf(b,d)","IsCoach(a) and TalksWith(a,e)","(exists c (exists b (IsCoach(a) and TalksWith(a,b) and IsInFrontOf(b,c) and IsInFrontOf(b,d))) & (forall e (forall a (IsCoach(a) ->   TalksWith(a,e)))) & (forall b (forall a (  TalksWith(a,b) -> IsCoach(a))))) -> (forall e (IsCoach(a) and TalksWith(a,e)))","(exists c (exists d (exists b (exists a (IsCoach(a) and TalksWith(a,b) and IsInFrontOf(b,c) and IsInFrontOf(b,d))))) & (forall f (forall g (IsCoach(f) ->   TalksWith(f,g)))) & (forall h (forall i (  TalksWith(h,i) -> IsCoach(h))))) -> (exists e (exists a (IsCoach(a) and TalksWith(a,e))))"
,1,"Two men watching one man make a golf putt on the set of Sports Center. As a consequence, people watching sports."," ""Two men are watching one man make a golf putt on the set of Sports Center.""  "," ""People are watching sports.""","IsWatching(a,b),  IsMakingPut(c,b),  IsOnSet(b,d),  IsInSportsCenter(d,e)","IsWatching(f, g)",[],[],"[(' Two men', ' People'), (' one man', ' People'), (' golf putt', ' sports'), (' Sports Center', ' sports')]","IsWatching(a,b) and IsMakingPut(c,b) and IsOnSet(b,d) and IsInSportsCenter(d,e)","IsWatching(f, g)","(exists e (exists c (exists b (exists a (IsWatching(a,b) and IsMakingPut(c,b) and IsOnSet(b,d) and IsInSportsCenter(d,e)))))) -> (forall g (forall f (IsWatching(f, g))))","(exists d (exists a (exists c (exists e (exists b (IsWatching(a,b) and IsMakingPut(c,b) and IsOnSet(b,d) and IsInSportsCenter(d,e))))))) -> (exists f (exists g (IsWatching(f, g))))"
,1,"Six women wait to use a port-o-john in a field. Thus, women are outside."," ""Six women wait to use a port-o-john in a field.""  "," ""Women are outside.""","IsWaiting(a),  IsInField(c),  IsForPortOJohn(b)",IsOutside(d),"[('IsWaiting(a)', 'IsOutside(d)'), ('IsOutside(d)', 'IsWaiting(a)'), ('  IsInField(c)', 'IsOutside(d)')]",[],"[(' Six women', ' Women')]",IsWaiting(a) and IsInField(c) and IsForPortOJohn(b),IsOutside(d),(exists a (IsWaiting(a) and IsInField(c) and IsForPortOJohn(b)) & (forall d (forall a (IsWaiting(a) -> IsOutside(d)))) & (forall d (forall a (IsOutside(d) -> IsWaiting(a)))) & (forall c (forall d (  IsInField(c) -> IsOutside(d))))) -> (forall d (IsOutside(d))),(exists c (exists b (exists a (IsWaiting(a) and IsInField(c) and IsForPortOJohn(b)))) & (forall e (forall f (IsWaiting(e) -> IsOutside(f)))) & (forall h (forall g (IsOutside(g) -> IsWaiting(h)))) & (forall j (forall i (  IsInField(i) -> IsOutside(j))))) -> (exists d (IsOutside(d)))
,1,Women wearing a black top and glasses speaking into a blue tipped microphone with another woman beside her writing. It follows that one woman speaking into a microphone while a second woman writes beside her.," ""One woman is speaking into a blue tipped microphone while a second woman is writing beside her.""  "," ""Women are engaged in speaking and writing.""","IsSpeaking(a, b),  IsWriting(c),  IsBeside(c, a)","IsEngagedInSpeaking(e),  IsEngagedInWriting(e)","[('  IsWriting(c)', 'IsEngagedInSpeaking(e)'), ('IsEngagedInSpeaking(e)', '  IsWriting(c)')]",[],"[(' One woman', ' Women'), (' a second woman', ' Women'), (' her', ' Women')]","IsSpeaking(a, b) and IsWriting(c) and IsBeside(c, a)",IsEngagedInSpeaking(e) and IsEngagedInWriting(e),"(exists c (exists a (IsSpeaking(a, b) and IsWriting(c) and IsBeside(c, a))) & (forall c (forall e (  IsWriting(c) -> IsEngagedInSpeaking(e)))) & (forall c (forall e (IsEngagedInSpeaking(e) ->   IsWriting(c))))) -> (forall e (IsEngagedInSpeaking(e) and IsEngagedInWriting(e)))","(exists c (exists b (exists a (IsSpeaking(a, b) and IsWriting(c) and IsBeside(c, a)))) & (forall f (forall g (  IsWriting(f) -> IsEngagedInSpeaking(g)))) & (forall h (forall i (IsEngagedInSpeaking(h) ->   IsWriting(i))))) -> (exists e (IsEngagedInSpeaking(e) and IsEngagedInWriting(e)))"
,1,"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. Therefore, a tan girl runs leans over an object."," ""One tan girl with a wool hat is running and leaning over an object.""  "," ""A tan girl runs and leans over an object.""","IsTan(a),  IsWearingHat(a, c),  IsRunning(a),  IsLeaningOver(a, b)","IsTan(a),  IsRunning(a),  IsLeaningOver(a, b)","[('  IsLeaningOver(a, b)', '  IsRunning(a)')]","[(' One tan girl', ' A tan girl'), (' an object', ' an object')]","[(' a wool hat', ' an object')]","IsTan(a) and IsWearingHat(a, c) and IsRunning(a) and IsLeaningOver(a, b)","IsTan(a) and IsRunning(a) and IsLeaningOver(a, b)","(exists c (IsTan(a) and IsWearingHat(a, c) and IsRunning(a) and IsLeaningOver(a, b)) & (forall b (forall a (  IsLeaningOver(a, b) ->   IsRunning(a))))) -> (forall b (IsTan(a) and IsRunning(a) and IsLeaningOver(a, b)))","(exists c (exists b (exists a (IsTan(a) and IsWearingHat(a, c) and IsRunning(a) and IsLeaningOver(a, b)))) & (forall e (forall f (  IsLeaningOver(e,f) ->   IsRunning(e))))) -> (exists b (exists a (IsTan(a) and IsRunning(a) and IsLeaningOver(a, b))))"
,1,A scientist studies a slide in order to work on her new creation. It follows that a scientist studies a slide that is related to her invention.," ""A scientist studies a slide for her new creation.""  "," ""A scientist studies a slide that is related to the scientist's invention.""","IsScientist(a),  Studies(a,b),  IsFor(a,c)","IsScientist(a),  Studies(a,b),  IsRelated(b,d)",[],"[(' A scientist', ' A scientist'), (' a slide', ' a slide')]",[],"IsScientist(a) and Studies(a,b) and IsFor(a,c)","IsScientist(a) and Studies(a,b) and IsRelated(b,d)","(IsScientist(a) and Studies(a,b) and IsFor(a,c)) -> (IsScientist(a) and Studies(a,b) and IsRelated(b,d))","(exists c (exists b (exists a (IsScientist(a) and Studies(a,b) and IsFor(a,c))))) -> (exists d (exists b (exists a (IsScientist(a) and Studies(a,b) and IsRelated(b,d)))))"
,1,"A red dog jumps and catches a tennis ball in its mouth. Consequently, a dog catching a ball."," ""A red dog jumps and catches a tennis ball in its mouth.""  "," ""A dog catches a ball.""","IsRed(a),  Jumps(a),  Catches(a,b),  IsInMouth(a,c)","Catches(d,e)","[('IsRed(a)', 'Catches(d,e)'), ('  Jumps(a)', 'Catches(d,e)')]",[],"[(' A red dog', ' A dog'), (' a tennis ball', ' a ball')]","IsRed(a) and Jumps(a) and Catches(a,b) and IsInMouth(b,c)","Catches(d,e)","(exists b (exists a (IsRed(a) and Jumps(a) and Catches(a,b) and IsInMouth(b,c))) & (forall e (forall d (forall a (IsRed(a) -> Catches(d,e))))) & (forall e (forall d (forall a (  Jumps(a) -> Catches(d,e)))))) -> (forall e (forall d (Catches(d,e))))","(exists c (exists b (exists a (IsRed(a) and Jumps(a) and Catches(a,b) and IsInMouth(b,c)))) & (forall h (forall f (forall g (IsRed(f) -> Catches(g,h))))) & (forall j (forall k (forall i (  Jumps(i) -> Catches(j,k)))))) -> (exists e (exists d (Catches(d,e))))"
,1,"A group of dogs stand in the snow. Thus, there are animals outdoors."," ""A group of dogs stands in the snow.""  "," ""There are animals outdoors.""",IsInSnow(a),IsOutdoors(c),"[('IsInSnow(a)', 'IsOutdoors(c)')]",[],"[(' A group of dogs', ' animals')]",IsInSnow(a),IsOutdoors(c),(exists a (IsInSnow(a)) & (forall c (forall a (IsInSnow(a) -> IsOutdoors(c))))) -> (forall c (IsOutdoors(c))),(exists a (IsInSnow(a)) & (forall e (forall f (IsInSnow(e) -> IsOutdoors(f))))) -> (exists c (IsOutdoors(c)))
,1,This person looks to be snowboarding on a very small pile of snow on a sunny cold day. This implies that young snowboarder sizing up their next jump.," ""This person is snowboarding on a very small pile of snow on a sunny cold day.""  "," ""This young snowboarder is sizing up the next jump.""","IsSnowboarding(a),  IsOn(a,b),  IsVerySmall(b),  IsSunny(c),  IsCold(c)","IsYoung(d),  IsSizingUp(d, e),  IsNextJump(e)",[],[],[],"IsSnowboarding(a) and IsOn(a,b) and IsVerySmall(b) and IsSunny(c) and IsCold(c)","IsYoung(d) and IsSizingUp(d, e) and IsNextJump(e)","(IsSnowboarding(a) and IsOn(a,b) and IsVerySmall(b) and IsSunny(c) and IsCold(c)) -> (IsYoung(d) and IsSizingUp(d, e) and IsNextJump(e))","(exists c (exists b (exists a (IsSnowboarding(a) and IsOn(a,b) and IsVerySmall(b) and IsSunny(c) and IsCold(c))))) -> (exists e (exists d (IsYoung(d) and IsSizingUp(d, e) and IsNextJump(e))))"
,1,"A large number of people are watching men dressed in kilts, one of whom has thrown a long pole. As a consequence, people watch men in kilts."," ""A large number of people are watching men dressed in kilts.""  "," ""People watch men in kilts.""","IsLargeNumber(c),  IsWatching(c, a),  IsDressedIn(a, b)","IsWatching(d, a),  IsDressedIn(a, b)","[('IsLargeNumber(c)', 'IsWatching(d, a)')]","[(' men', ' men'), (' kilts', ' kilts')]","[(' A large number of people', ' People'), (' A large number of people', ' men'), (' men', ' People')]","IsLargeNumber(c) and IsWatching(c, a) and IsDressedIn(a, b)","IsWatching(d, a) and IsDressedIn(a, b)","(exists a (exists c (IsLargeNumber(c) and IsWatching(c, a) and IsDressedIn(a, b))) & (forall c (forall d (forall a (IsLargeNumber(c) -> IsWatching(d, a)))))) -> (forall a (forall d (IsWatching(d, a) and IsDressedIn(a, b))))","(exists c (exists b (exists a (IsLargeNumber(c) and IsWatching(c, a) and IsDressedIn(a, b)))) & (forall e (forall f (forall g (IsLargeNumber(e) -> IsWatching(f,g)))))) -> (exists d (exists b (exists a (IsWatching(d, a) and IsDressedIn(a, b)))))"
,1,"A boy is riding down the road between two cows. Consequently, a boy, a road and two cows."," ""A boy is riding down the road between two cows.""  "," ""There is a boy, a road, and two cows.""","IsRiding(a, b),  IsBetween(a, c)","IsABoy(a),  IsARoad(b),  AreTwoCows(c)","[('IsRiding(a, b)', 'IsABoy(a)'), ('  IsBetween(a, c)', 'IsABoy(a)')]","[(' A boy', ' a boy'), (' the road', ' a road'), (' two cows', ' two cows')]",[],"IsRiding(a, b) and IsBetween(a, c)",IsABoy(a) and IsARoad(b) and AreTwoCows(c),"(IsRiding(a, b) and IsBetween(a, c) & (forall b (forall a (IsRiding(a, b) -> IsABoy(a)))) & (forall c (forall a (  IsBetween(a, c) -> IsABoy(a))))) -> (IsABoy(a) and IsARoad(b) and AreTwoCows(c))","(exists c (exists b (exists a (IsRiding(a, b) and IsBetween(a, c)))) & (forall f (forall g (IsRiding(f,g) -> IsABoy(f)))) & (forall h (forall i (  IsBetween(h,i) -> IsABoy(h))))) -> (exists c (exists b (exists a (IsABoy(a) and IsARoad(b) and AreTwoCows(c)))))"
,1,A bald man is getting out of a small blue car. It follows that the man is bald.," ""A bald man is getting out of a small blue car.""  "," ""The man is bald.""","IsBald(a),  IsGettingOutOf(b,a),  IsSmall(b),  IsBlue(b)",IsBald(c),"[('  IsGettingOutOf(b,a)', 'IsBald(c)')]",[],"[(' A bald man', ' The man')]","IsBald(a) and IsGettingOutOf(b,a) and IsSmall(b) and IsBlue(b)",IsBald(c),"(exists a (IsBald(a) and IsGettingOutOf(b,a) and IsSmall(b) and IsBlue(b)) & (forall c (forall b (forall a (  IsGettingOutOf(b,a) -> IsBald(c)))))) -> (forall c (IsBald(c)))","(exists b (exists a (IsBald(a) and IsGettingOutOf(b,a) and IsSmall(b) and IsBlue(b))) & (forall e (forall d (forall f (  IsGettingOutOf(d,e) -> IsBald(f)))))) -> (exists c (IsBald(c)))"
,1,"Young boys in green and blue jerseys kick around a soccer ball while other soccer games take place in the background. Thus, young boys kicking around a soccer ball."," ""Young boys in green and blue jerseys kick around a soccer ball.""  "," ""Young boys kick around a soccer ball.""","IsYoung(a),  IsInGreenAndBlueJerseys(a),  KicksAround(a, b)","IsYoung(a),  KicksAround(a, b)","[('  KicksAround(a, b)', 'IsYoung(a)')]","[(' Young boys', ' Young boys'), (' soccer ball', ' a soccer ball')]",[],"IsYoung(a) and IsInGreenAndBlueJerseys(a) and KicksAround(a, b)","IsYoung(a) and KicksAround(a, b)","(IsYoung(a) and IsInGreenAndBlueJerseys(a) and KicksAround(a, b) & (forall b (forall a (  KicksAround(a, b) -> IsYoung(a))))) -> (IsYoung(a) and KicksAround(a, b))","(exists b (exists a (IsYoung(a) and IsInGreenAndBlueJerseys(a) and KicksAround(a, b))) & (forall e (forall f (  KicksAround(e,f) -> IsYoung(e))))) -> (exists b (exists a (IsYoung(a) and KicksAround(a, b))))"
,1,"A girl playing a violin along with a group of people. Consequently, a girl is playing an instrument."," ""A girl is playing a violin.""  "," ""A girl is playing an instrument.""","IsPlaying(a),  HasViolin(a)","IsPlaying(a),  HasInstrument(a)","[('IsPlaying(a)', '  HasInstrument(a)'), ('  HasViolin(a)', 'IsPlaying(a)'), ('  HasViolin(a)', '  HasInstrument(a)')]","[(' A girl', ' A girl')]","[(' a violin', ' an instrument')]",IsPlaying(a) and HasViolin(a),IsPlaying(a) and HasInstrument(a),(IsPlaying(a) and HasViolin(a) & (forall a (IsPlaying(a) ->   HasInstrument(a))) & (forall a (  HasViolin(a) -> IsPlaying(a))) & (forall a (  HasViolin(a) ->   HasInstrument(a)))) -> (IsPlaying(a) and HasInstrument(a)),(exists a (IsPlaying(a) and HasViolin(a)) & (forall d (IsPlaying(d) ->   HasInstrument(d))) & (forall e (  HasViolin(e) -> IsPlaying(e))) & (forall f (  HasViolin(f) ->   HasInstrument(f)))) -> (exists a (IsPlaying(a) and HasInstrument(a)))
,1,Two small boys in blue soccer uniforms use a wooden set of steps to wash their hands in an adult-sized bathroom. It follows that two boys washing their hands.," ""Two small boys in blue soccer uniforms are washing their hands in an adult-sized bathroom.""  "," ""Two boys are washing their hands.""","IsSmall(a),  IsInBlueSoccerUniforms(a),  IsWashing(b),  IsInAdultSizedBathroom(a)","IsWashing(b),  IsBoy(a)","[('IsSmall(a)', 'IsWashing(b)'), ('  IsInBlueSoccerUniforms(a)', 'IsWashing(b)'), ('  IsBoy(a)', '  IsWashing(b)')]","[(' Two small boys', ' Two boys'), (' their hands', ' their hands')]",[],IsSmall(a) and IsInBlueSoccerUniforms(a) and IsWashing(b) and IsInAdultSizedBathroom(a),IsBoy(a) and IsWashing(b),(IsSmall(a) and IsInBlueSoccerUniforms(a) and IsWashing(b) and IsInAdultSizedBathroom(a) & (forall b (forall a (IsSmall(a) -> IsWashing(b)))) & (forall b (forall a (  IsInBlueSoccerUniforms(a) -> IsWashing(b)))) & (forall b (forall a (  IsBoy(a) ->   IsWashing(b))))) -> (IsBoy(a) and IsWashing(b)),(exists b (exists a (IsSmall(a) and IsInBlueSoccerUniforms(a) and IsWashing(b) and IsInAdultSizedBathroom(a))) & (forall f (forall g (IsSmall(f) -> IsWashing(g)))) & (forall h (forall i (  IsInBlueSoccerUniforms(h) -> IsWashing(i)))) & (forall j (forall k (  IsBoy(j) ->   IsWashing(k))))) -> (exists b (exists a (IsBoy(a) and IsWashing(b))))
,1,A soccer player in white kicks a ball as another soccer player lunges towards the ball and a third soccer player in red follows close by. This implies that there are three soccer players.," ""A soccer player in white kicks a ball.""  "," ""There are three soccer players.""","IsInWhite(a),  Kicks(a, b)",IsThree(c),[],[],[],"IsInWhite(a) and Kicks(a, b)",IsThree(c),"(IsInWhite(a) and Kicks(a, b)) -> (IsThree(c))","(exists b (exists a (IsInWhite(a) and Kicks(a, b)))) -> (exists c (IsThree(c)))"
,1,"Children playing a video game together. Thus, the kids are indoors playing a video game."," ""Children are playing a video game together.""  "," ""The kids are indoors.""","IsPlaying(a, b)",IsIndoors(a),[],"[(' Children', ' The kids')]",[],"IsPlaying(a, b)",IsIndoors(a),"(IsPlaying(a, b)) -> (IsIndoors(a))","(exists b (exists a (IsPlaying(a, b)))) -> (exists a (IsIndoors(a)))"
,1,Two people in coats kiss on the side of a road. This implies that people show their appreciation for another.," ""Two people in coats kiss on the side of a road.""  "," ""People show their appreciation for another.""","IsInCoat(a),  Kisses(a),  IsOnSideOfRoad(a, c)","ShowAppreciation(d, f),  IsFor(f, g)",[],[],"[(' Two people', ' People')]","IsInCoat(a) and Kisses(a) and IsOnSideOfRoad(a, c)","ShowAppreciation(d, f) and IsFor(f, g)","(exists a (IsInCoat(a) and Kisses(a) and IsOnSideOfRoad(a, c))) -> (forall d (ShowAppreciation(d, f) and IsFor(f, g)))","(exists c (exists a (IsInCoat(a) and Kisses(a) and IsOnSideOfRoad(a, c)))) -> (exists d (exists f (exists g (ShowAppreciation(d, f) and IsFor(f, g)))))"
,1,Woman reading a book with a grocery tote. It follows that a woman is reading.," ""A woman is reading a book.""  "," ""A woman is reading.""","IsReading(a),  HasBook(a)",IsReading(a),"[('  HasBook(a)', 'IsReading(a)')]","[(' A woman', ' A woman')]",[],IsReading(a) and HasBook(a),IsReading(a),(IsReading(a) and HasBook(a) & (forall a (  HasBook(a) -> IsReading(a)))) -> (IsReading(a)),(exists a (IsReading(a) and HasBook(a)) & (forall c (  HasBook(c) -> IsReading(c)))) -> (exists a (IsReading(a)))
,1,"A man wearing a brown hoodie is shopping for snacks. As a consequence, the man is wearing brown."," ""A man is wearing a brown hoodie.""  "," ""The man is wearing brown.""","IsWearing(a, b),  IsBrown(b)","IsWearing(a, c),  IsBrown(c)",[],"[(' A man', ' The man')]",[],"IsWearing(a, b) and IsBrown(b)","IsWearing(a, c) and IsBrown(c)","(IsWearing(a, b) and IsBrown(b)) -> (IsWearing(a, c) and IsBrown(c))","(exists b (exists a (IsWearing(a, b) and IsBrown(b)))) -> (exists c (exists a (IsWearing(a, c) and IsBrown(c))))"
,1,"A young man in a blue T-shirt and sweatpants stands over a stove and looks at the camera while another young man stands behind him. As a consequence, a man is in front of a camera."," ""A young man in a blue T-shirt and sweatpants stands over a stove.""  "," ""A man is in front of a camera.""","IsYoung(a),  IsInBlueTShirt(a),  IsInSweatpants(a),  StandsOver(a, d)","IsMan(e),  IsInFrontOf(e, f)","[('IsYoung(a)', '  IsInFrontOf(e, f)')]",[],"[(' A young man', ' A man')]","IsYoung(a) and IsInBlueTShirt(a) and IsInSweatpants(a) and StandsOver(a, d)","IsMan(e) and IsInFrontOf(e, f)","(exists a (IsYoung(a) and IsInBlueTShirt(a) and IsInSweatpants(a) and StandsOver(a, d)) & (forall e (forall f (forall a (IsYoung(a) ->   IsInFrontOf(e, f)))))) -> (forall e (IsMan(e) and IsInFrontOf(e, f)))","(exists d (exists a (IsYoung(a) and IsInBlueTShirt(a) and IsInSweatpants(a) and StandsOver(a, d))) & (forall h (forall i (forall g (IsYoung(g) ->   IsInFrontOf(h,i)))))) -> (exists e (exists f (IsMan(e) and IsInFrontOf(e, f))))"
,1,"This church choir sings to the masses as they sing joyous songs from the book at a church. Therefore, the church is filled with song."," ""The church choir sings joyous songs from the book at a church.""  "," ""The church is filled with song.""","Sings(b, c),  IsFrom(c, d),  IsIn(a)","IsFilledWith(a, e)","[('Sings(b, c)', 'IsFilledWith(a, e)')]","[(' a church', ' The church')]","[(' The church choir', ' The church'), (' joyous songs', ' song')]","Sings(b, c) and IsFrom(c, d) and IsIn(a)","IsFilledWith(a, e)","(exists c (exists b (Sings(b, c) and IsFrom(c, d) and IsIn(a))) & (forall c (forall e (forall b (forall a (Sings(b, c) -> IsFilledWith(a, e))))))) -> (forall e (forall a (IsFilledWith(a, e))))","(exists c (exists d (exists b (exists a (Sings(b, c) and IsFrom(c, d) and IsIn(a))))) & (forall h (forall j (forall i (forall g (Sings(g,h) -> IsFilledWith(i,j))))))) -> (exists e (exists a (IsFilledWith(a, e))))"
,1,"A man and a woman are standing at the side of an inflatable climbing structure. As a consequence, a man and a woman are standing."," ""A man and a woman are standing at the side of an inflatable climbing structure.""  "," ""A man and a woman are standing.""","IsStanding(a),  IsStanding(b),  IsAtTheSideOf(b, d),  IsAtTheSideOf(a, d)","IsStanding(a),  IsStanding(b)",[],"[(' A man', ' A man'), (' a woman', ' a woman')]",[],"IsStanding(a) and IsStanding(b) and IsAtTheSideOf(a, d) and IsAtTheSideOf(b, d)",IsStanding(a) and IsStanding(b),"(IsStanding(a) and IsStanding(b) and IsAtTheSideOf(a, d) and IsAtTheSideOf(b, d)) -> (IsStanding(a) and IsStanding(b))","(exists d (exists b (exists a (IsStanding(a) and IsStanding(b) and IsAtTheSideOf(a, d) and IsAtTheSideOf(b, d))))) -> (exists b (exists a (IsStanding(a) and IsStanding(b))))"
,1,An asian teenager wearing a white shirt with black stripes is sitting on the steps with his face resting on his hand. This implies that the teenager is seated.," ""An Asian teenager is sitting on the steps.""  "," ""The teenager is seated.""  ","IsAsian(a),  IsTeenager(a),  IsSittingOn(b,a)","IsTeenager(c),  IsSeated(c)","[('IsAsian(a)', '  IsSeated(c)'), ('  IsTeenager(a)', '  IsSeated(c)'), ('  IsSeated(c)', '  IsTeenager(a)'), ('IsTeenager(c)', '  IsSittingOn(b,a)'), ('  IsSittingOn(b,a)', '  IsSeated(c)'), ('  IsSeated(c)', '  IsSittingOn(b,a)')]",[],"[(' An Asian teenager', ' The teenager')]","IsAsian(a) and IsTeenager(a) and IsSittingOn(b,a)",IsTeenager(c) and IsSeated(c),"(exists a (IsAsian(a) and IsTeenager(a) and IsSittingOn(b,a)) & (forall c (forall a (IsAsian(a) ->   IsSeated(c)))) & (forall c (forall a (  IsTeenager(a) ->   IsSeated(c)))) & (forall c (forall a (  IsSeated(c) ->   IsTeenager(a)))) & (forall c (forall b (forall a (IsTeenager(c) ->   IsSittingOn(b,a))))) & (forall c (forall b (forall a (  IsSittingOn(b,a) ->   IsSeated(c))))) & (forall c (forall b (forall a (  IsSeated(c) ->   IsSittingOn(b,a)))))) -> (forall c (IsTeenager(c) and IsSeated(c)))","(exists b (exists a (IsAsian(a) and IsTeenager(a) and IsSittingOn(b,a))) & (forall e (forall d (IsAsian(d) ->   IsSeated(e)))) & (forall f (forall g (  IsTeenager(f) ->   IsSeated(g)))) & (forall h (forall i (  IsSeated(h) ->   IsTeenager(i)))) & (forall j (forall l (forall k (IsTeenager(j) ->   IsSittingOn(k,l))))) & (forall m (forall o (forall n (  IsSittingOn(m,n) ->   IsSeated(o))))) & (forall q (forall p (forall r (  IsSeated(p) ->   IsSittingOn(q,r)))))) -> (exists c (IsTeenager(c) and IsSeated(c)))"
